2015-09-17 10:33:17,716 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 2ms)
2015-09-17 10:33:17,737 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-09-17 10:33:17,737 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2015-09-17 10:33:17,742 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of umbraco.interfaces.ITree
2015-09-17 10:33:17,743 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of umbraco.interfaces.ITree, found 19 (took 1ms)
2015-09-17 10:33:18,243 [24] INFO  Umbraco.Core.UmbracoApplicationBase - [P4956/T23/D3] Application shutdown. Reason: BrowsersDirChangeOrDirectoryRename
2015-09-17 10:34:05,714 [37] INFO  umbraco.BusinessLogic.Log - [P4956/T36/D4] Log scrubbed.  Removed all items older than 2015-07-19 10:34:05
2015-09-17 10:34:28,518 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [KeepAlive] Terminating
2015-09-17 10:34:28,518 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [KeepAlive] Waiting for tasks to complete
2015-09-17 10:34:28,523 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [KeepAlive] Tasks completed, terminated
2015-09-17 10:34:28,523 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [ScheduledPublishing] Terminating
2015-09-17 10:34:28,523 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [ScheduledPublishing] Waiting for tasks to complete
2015-09-17 10:34:28,525 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [ScheduledPublishing] Tasks completed, terminated
2015-09-17 10:34:28,526 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [ScheduledTasks] Terminating
2015-09-17 10:34:28,526 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [ScheduledTasks] Waiting for tasks to complete
2015-09-17 10:34:28,526 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [LogScrubber] Terminating
2015-09-17 10:34:28,526 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [LogScrubber] Waiting for tasks to complete
2015-09-17 10:34:28,527 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [LogScrubber] Tasks completed, terminated
2015-09-17 10:34:28,527 [37] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P4956/T36/D4] [ScheduledTasks] Tasks completed, terminated
2015-09-17 10:34:58,554 [37] INFO  Umbraco.Core.UmbracoApplicationBase - [P4956/T36/D4] Application shutdown. Reason: BinDirChangeOrDirectoryRename
2015-09-17 10:35:01,605 [41] INFO  Umbraco.Core.CoreBootManager - [P4956/T36/D5] Umbraco 7.2.8 application starting on DEBBIEMCKAY-PC
2015-09-17 10:35:01,675 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Determining hash of code files on disk
2015-09-17 10:35:01,689 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Hash determined (took 12ms)
2015-09-17 10:35:01,704 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-09-17 10:35:02,234 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 38 (took 526ms)
2015-09-17 10:35:02,353 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-09-17 10:35:02,415 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 50ms)
2015-09-17 10:35:02,415 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-09-17 10:35:02,415 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 10ms)
2015-09-17 10:35:02,456 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-09-17 10:35:02,473 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 8 (took 17ms)
2015-09-17 10:35:02,473 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-09-17 10:35:02,489 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 36 (took 15ms)
2015-09-17 10:35:02,554 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-09-17 10:35:02,564 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 9ms)
2015-09-17 10:35:02,564 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-09-17 10:35:02,574 [41] INFO  Umbraco.Core.PluginManager - [P4956/T36/D5] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 10ms)
2015-09-17 10:35:18,969 [41] INFO  Umbraco.Core.DatabaseContext - [P4956/T36/D5] CanConnect = True
2015-09-17 10:35:18,974 [41] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P4956/T36/D5] Initializing Umbraco internal event handlers for cache refreshing
2015-09-17 10:35:19,022 [41] INFO  Umbraco.Web.Search.ExamineEvents - [P4956/T36/D5] Initializing Examine and binding to business logic events
2015-09-17 10:35:19,134 [41] INFO  Umbraco.Web.Search.ExamineEvents - [P4956/T36/D5] Adding examine event handlers for index providers: 3
2015-09-17 10:35:19,155 [41] INFO  Umbraco.Core.CoreBootManager - [P4956/T36/D5] Umbraco application startup complete (took 17518ms)
2015-09-17 10:35:19,635 [41] INFO  Umbraco.Core.ApplicationContext - [P4956/T36/D5] ApplicationUrl: http://localhost:80/umbraco (UmbracoModule request)
